query_id,query,bm25_hit5,bm25_ndcg5,bm25_p95ms,dense_hit5,dense_ndcg5,dense_p95ms,hybrid_mm_hit5,hybrid_mm_ndcg5,hybrid_mm_p95ms,hybrid_rrf_hit5,hybrid_rrf_ndcg5,hybrid_rrf_p95ms
DQ001,How do deforestation and fire emissions contribute to the ,1.0,0.5,648.3157549810129,1.0,0.5437713091520254,29.355094995116815,1.0,0.43067655807339306,1037.3963649821228,1.0,0.6934264036172708,625.6215100118425
DQ002,How does climate change intensify floods through changes i,1.0,0.6509209298071326,524.7498700366123,0.0,0.0,27.664144992013462,1.0,0.5012658353418871,580.6377799803158,1.0,0.43067655807339306,568.0017800012138
DQ003,What are the key agricultural trade-offs when pursuing sus,1.0,0.38685280723454163,596.9036850234261,1.0,0.38685280723454163,29.38623501395341,0.0,0.0,596.1060399975395,1.0,0.5012658353418871,566.7470000160392
DQ004,How does the dynamic sustainability framework address the ,1.0,0.43067655807339306,591.029389994219,0.0,0.0,24.19162500882521,0.0,0.0,624.5920149842277,0.0,0.0,610.9793500159867
DQ005,What is the role of energy in carbon capture and storage a,1.0,0.8503449055347546,723.6148399999365,1.0,0.6509209298071326,34.332905005430796,1.0,0.7328286204777911,754.2485149868298,1.0,0.8772153153380493,886.2785100034669
DQ006,What does the Global Carbon Budget 2020 report about Germa,1.0,0.6240505200038379,552.4387399840634,1.0,0.38685280723454163,25.528095007757656,1.0,1.0,816.6083999938563,1.0,1.0,681.9044600066262
DQ007,How does particulate matter air pollution affect human hea,1.0,0.7606395682357036,551.1126000143122,0.0,0.0,28.77051500545349,1.0,0.5706417189553201,562.0433499861974,1.0,0.5437713091520254,537.0094650192186
DQ008,What are the climate and resource costs of deep learning a,1.0,0.6797310500037655,572.345245006727,1.0,0.5012658353418871,29.801260001841,1.0,0.38685280723454163,614.8313649784541,1.0,0.43067655807339306,624.1071549593471
DQ009,How does land use change affect river hydrology in the upp,1.0,1.0,648.8866700092331,1.0,0.7328286204777911,55.952504981542006,1.0,0.9828920819566879,645.7964249857469,1.0,1.0,690.697525019641
DQ010,What are the interannual patterns and drivers of global bi,1.0,0.9674679834891693,607.7811650204239,0.0,0.0,26.122675018268637,1.0,0.8854598815714874,639.7879800002556,1.0,0.9197207891481876,623.3353500021622
